strategy,TRANSITION,BULL_LOW_VOL,BULL_NORMAL_VOL,BEAR_HIGH_VOL,BEAR_NORMAL_VOL,BULL_HIGH_VOL,BEAR_LOW_VOL,overall_sharpe
BuyAndHold,-0.1898419606483147,0.41731565405589155,0.21067844809114877,,0.05420133526271109,1.8209584773730771,,0.5455795542000653
SMA200,0.19877854695861386,0.39900601638314925,0.28422163471992934,,-0.0015564575119798585,1.726057686744344,,1.459158244301433
GoldenCrossBaseline,-0.3163977063369803,0.4073252664586424,0.2817066186095438,,-0.011210501278437257,1.7850298292243618,,0.5829876531729651
GoldenCross,-0.09661066071209423,0.11746027262115066,0.0018841832977039008,,0.0,0.36629899945606037,,-0.538697027691915
MACDTrend,0.9840451457637733,0.4789817302494459,0.8326674906939604,,1.5364115494339163,-0.6341753611878228,,1.814517956395135
ADXBreakout,0.15261907867229074,0.11440029821570863,0.08512597561770474,,0.08613612510810431,-0.8496793887476144,,0.049348395134513036
Ichimoku,2.8689842375060475,1.6299485774752034,1.957211980191623,,2.4289391640004574,1.9096673345347304,,5.434386532287775
ParabolicSAR,3.2742545763632656,3.8188397853235863,3.2583066689024403,,4.196821575133131,2.3064261359602325,,6.3764894478077245
DonchianBreakout,4.587149960215552,2.4297863643177475,2.297067527864741,,9.581193025853901,8.691560438904965,,10.454545320046257
RSIReversal,-0.1685401044850131,-0.11562609090535425,-0.08356979109272455,,-0.10289585922653555,-0.15577077671223716,,-2.5428833192590026
BollingerBounce,-0.18938348523669868,-0.1351525959036659,-0.13379350698352677,,-0.17923702578316825,-0.11931428066365368,,-2.9867978734419216
Stochastic,0.2429648612898494,0.09557697930685927,0.11401276026485463,,0.5369580824395674,0.5749770270214396,,0.6817841118343514
WilliamsR,-0.3111276455650237,-0.2650695659557665,-0.3035468326630961,,-0.5079026804511164,-0.4032205619448882,,-3.8831471882666717
CCIReversal,-0.1299325852586467,-0.24606880733538505,-0.22568131760285992,,-0.3638515949846818,-0.021928104396289116,,-3.5729310870296365
ATRBreakout,3.0546977272447577,0.9949679254691965,1.2393388091078719,,2.3248299818176488,6.577352251323051,,6.169847251186126
KeltnerBreakout,4.726503004966539,2.3125230939334944,1.2647010533477818,,2.5287433751588257,7.8418164940585235,,6.938502655917713
VolTargeting,-0.1898419606483147,0.41731565405589155,0.21067844809114877,,0.05420133526271109,1.8209584773730771,,0.5455795542000653
BBSqueeze,2.6992845137522687,1.812520079361461,3.147927951397114,,8.14777579165156,2.966040823522499,,13.33793091363364
OBVConfirmation,2.6096774824093534,1.2426214759088121,1.6947626639698576,,2.543984602691678,0.1370721799689678,,4.118989360901488
MFIReversal,-0.09113033005427618,-0.11243754028771269,-0.03362688574465089,,0.006886958709766855,0.0022681497326009215,,-2.487982168510209
VWAPReversion,-0.2551361254147583,-0.2295667005098736,-0.191777834798875,,-0.31750694969109494,-0.5289073677045038,,-3.2447199943785634
Momentum12-1,-0.07218655060867629,0.1515244193700378,0.07357265580353922,,-0.12418882222537653,0.023421017158828494,,-0.12561511606446996
AroonTrend,0.07962285917301526,0.3646795418255988,0.09345763178016786,,0.03346729391767411,-0.4388492158468946,,0.1404579790346556
TRIXTrend,0.11414753509702713,-0.11488040154187751,-0.009394802807250358,,-0.015756551944382413,-0.3071358692230173,,-0.4469740751489374
