,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown
Meta-Allocation,672250836.6637601,2.574621124941749,0.23049531384558072,10.996410654317279,28.990896043113974,57.419766767370724,-0.04483858555839345
Equal-Weight,181091339.81682616,2.2925358993853933,0.23889198490303404,9.429097842272501,22.408865550481188,36.875634717091,-0.0621693949669931
BBSqueeze (Best),7880139616.495337,3.588751013873961,0.2655986877103765,13.361327363724461,22.65859828585153,48.72098184280392,-0.07365925065822577
