strategy,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,num_trades,win_rate,profit_factor,total_costs,avg_holding_period
BuyAndHold,5.137075628290914,0.19554233036596402,0.6992251092062478,0.8889055700399962,-0.3513333137994096,0.5565721287609152,0,0.0,inf,4855.911771187187,2559.0
SMA200,10.814962385781582,0.27516844956878805,1.4906792117366459,1.7706539985431418,-0.13506074764221102,2.037368031589281,52,0.19230769230769232,73.35079702842383,21135.032565507943,77.62962962962963
GoldenCrossBaseline,3.7142203462912047,0.16490037442556438,0.660183962253421,0.7237671136557544,-0.282868684275137,0.5829573353025224,15,0.4,11.709047450058405,5135.07020688834,260.5
GoldenCross,0.03616803602679486,0.0035035412910360275,-0.06553884201753427,-0.06815088404413551,-0.7573508945238757,0.00462604760404832,26,0.5384615384615384,9.216731774091858,648395.3999477006,18.333333333333332
MACDTrend,26144.22218713909,1.7216799763417825,3.258517227018874,4.892635249970367,-0.2874121351683067,5.990282822726249,784,0.30994897959183676,2.104180423913069,2124044037.096079,364.14285714285717
ADXBreakout,16.19469867901448,0.3231502187918063,0.6326667207656148,0.7440633944034634,-0.4866497474227043,0.6640303842819377,392,0.33248081841432225,1.503421012844333,2654160.722730632,16.79746835443038
Ichimoku,1196986.885740935,2.965627889956619,6.945030466088634,9.874287761812079,-0.16110710367437353,18.407803394881253,537,0.2644320297951583,15.976108232158014,42723511092.80473,10.60122699386503
ParabolicSAR,80241086.37962593,4.9991408768922945,8.874795859749465,15.40678568026532,-0.2813226421764316,17.770133389253047,586,0.36752136752136755,5.931767864491448,3688034209594.05,852.0
DonchianBreakout,7493850.310130955,3.7503846892653785,11.050807026043085,2487.5487330488213,-0.0008181942661051172,4583.7337715876265,647,0.14551083591331268,inf,134226485598.72604,1.7117437722419928
RSIReversal,-1.0005267939571099,,,,-1.0005222791094053,,10,0.1,0.0008919563168682172,42422.895759790605,6.0
BollingerBounce,-0.9999887897012041,-0.674390781474017,-2.0111781282237455,-0.7414757342842727,-0.9999887897012041,-0.6743983416809347,8,0.0,0.0,13775.888595876473,2.0
Stochastic,7.194196989179439,0.2300514754669194,0.837734990449437,0.7766473175205146,-0.17307151273669305,1.3292278540195943,728,0.07290233837689133,0.5242104474060492,1409555.1326435283,1.9682539682539681
WilliamsR,-0.9999863984155393,-0.6681340337137764,-2.2383759917126724,-1.0104610923149833,-0.9999865857845198,-0.6681429963279008,3,0.0,0.0,26327.784829231165,7.5
CCIReversal,-1.0004009489446408,,,,-1.000404333325405,,11,0.09090909090909091,0.000717192065297953,29560.76278133636,3.5
ATRBreakout,73833.85206808703,2.014529113066709,6.912162875314591,19.01825506639461,-0.057322905126403666,35.14352785547833,476,0.21894736842105264,44.71981157015206,1206308459.262415,2.745945945945946
KeltnerBreakout,232350.84331282668,2.3746598841400695,7.7479730912462275,27.274051568699747,-0.03886469405491166,61.10069670907299,505,0.21031746031746032,48.509308995148366,5521496061.7621975,3.597826086956522
VolTargeting,4.277265771280189,0.17791006467823078,0.6309848985145734,0.79908512149026,-0.3916546201167711,0.45425243451791075,22,0.36363636363636365,32.65349953162432,68585.39747375094,192.83333333333334
BBSqueeze,8388303.791989257,3.8034047067598644,13.252539752904049,22.607922076995205,-0.07365939174573255,51.635027341645326,352,0.5539772727272727,14.375289404334021,128232353840.91222,2559.0
OBVConfirmation,1023179.9371568298,2.904853036237751,5.7411844756404005,7.908633419149583,-0.3212272027093296,9.042985811093589,684,0.23572474377745242,3.768955839353013,46048045988.28825,9.514851485148515
MFIReversal,-0.943451889717771,-0.24631277098567816,-1.9039436607034343,-0.5606253016455918,-0.9434644345009483,-0.2610726615423155,35,0.0,0.0,30406.884606167907,2.142857142857143
VWAPReversion,-1.0001707780416202,,,,-1.0001707780416202,,4,0.0,0.0,33394.79991361055,6.0
Momentum12-1,-0.8516740233696352,-0.17126306514947498,-0.35349336040030555,-0.4104685162683832,-0.9226142199543644,-0.18562803547288292,7,0.14285714285714285,1.369953636488837,316467.26951089903,12.5
AroonTrend,11.183568262150766,0.27903057823235544,0.5542106976501702,0.5680859346927003,-0.4567848582813138,0.6108577663502863,352,0.33048433048433046,1.3493185134131005,1599643.4524403869,8.8671875
TRIXTrend,-0.9225811099876515,-0.2226423609774998,-0.443464635301027,-0.6176377785230959,-0.9456397194137908,-0.23544099978744282,107,0.38317757009345793,0.5439028148375873,398189.9178139253,188.0
