date,equity,returns
2000-01-03,500000.0,
2000-01-04,500000.0,0.0
2000-01-05,500000.0,0.0
2000-01-06,500000.0,0.0
2000-01-07,500000.0,0.0
2000-01-10,500000.0,0.0
2000-01-11,500000.0,0.0
2000-01-12,500000.0,0.0
2000-01-13,500000.0,0.0
2000-01-14,500000.0,0.0
2000-01-18,500000.0,0.0
2000-01-19,500000.0,0.0
2000-01-20,500000.0,0.0
2000-01-21,500000.0,0.0
2000-01-24,500000.0,0.0
2000-01-25,500000.0,0.0
2000-01-26,500000.0,0.0
2000-01-27,500000.0,0.0
2000-01-28,500000.0,0.0
2000-01-31,500000.0,0.0
2000-02-01,500000.0,0.0
2000-02-02,500000.0,0.0
2000-02-03,500000.0,0.0
2000-02-04,500000.0,0.0
2000-02-07,500000.0,0.0
2000-02-08,500000.0,0.0
2000-02-09,500000.0,0.0
2000-02-10,500000.0,0.0
2000-02-11,500000.0,0.0
2000-02-14,500000.0,0.0
2000-02-15,500000.0,0.0
2000-02-16,500000.0,0.0
2000-02-17,500000.0,0.0
2000-02-18,500000.0,0.0
2000-02-22,500000.0,0.0
2000-02-23,500000.0,0.0
2000-02-24,500000.0,0.0
2000-02-25,500000.0,0.0
2000-02-28,500000.0,0.0
2000-02-29,500000.0,0.0
2000-03-01,500000.0,0.0
2000-03-02,500000.0,0.0
2000-03-03,500000.0,0.0
2000-03-06,500000.0,0.0
2000-03-07,500000.0,0.0
2000-03-08,500000.0,0.0
2000-03-09,500000.0,0.0
2000-03-10,500000.0,0.0
2000-03-13,500000.0,0.0
2000-03-14,500000.0,0.0
2000-03-15,500000.0,0.0
2000-03-16,500000.0,0.0
2000-03-17,500000.0,0.0
2000-03-20,500000.0,0.0
2000-03-21,500000.0,0.0
2000-03-22,500000.0,0.0
2000-03-23,500000.0,0.0
2000-03-24,500000.0,0.0
2000-03-27,500000.0,0.0
2000-03-28,500000.0,0.0
2000-03-29,500000.0,0.0
2000-03-30,500000.0,0.0
2000-03-31,500000.0,0.0
2000-04-03,500000.0,0.0
2000-04-04,500000.0,0.0
2000-04-05,500000.0,0.0
2000-04-06,500000.0,0.0
2000-04-07,500000.0,0.0
2000-04-10,500000.0,0.0
2000-04-11,500000.0,0.0
2000-04-12,500000.0,0.0
2000-04-13,500000.0,0.0
2000-04-14,500000.0,0.0
2000-04-17,500000.0,0.0
2000-04-18,500000.0,0.0
2000-04-19,500000.0,0.0
2000-04-20,500000.0,0.0
2000-04-24,500000.0,0.0
2000-04-25,500000.0,0.0
2000-04-26,500000.0,0.0
2000-04-27,500000.0,0.0
2000-04-28,500000.0,0.0
2000-05-01,500000.0,0.0
2000-05-02,500000.0,0.0
2000-05-03,500000.0,0.0
2000-05-04,500000.0,0.0
2000-05-05,500000.0,0.0
2000-05-08,500000.0,0.0
2000-05-09,500000.0,0.0
2000-05-10,500000.0,0.0
2000-05-11,500000.0,0.0
2000-05-12,500000.0,0.0
2000-05-15,500000.0,0.0
2000-05-16,500000.0,0.0
2000-05-17,500000.0,0.0
2000-05-18,500000.0,0.0
2000-05-19,500000.0,0.0
2000-05-22,500000.0,0.0
2000-05-23,500000.0,0.0
2000-05-24,500000.0,0.0
2000-05-25,500000.0,0.0
2000-05-26,500000.0,0.0
2000-05-30,500000.0,0.0
2000-05-31,500000.0,0.0
2000-06-01,500000.0,0.0
2000-06-02,500000.0,0.0
2000-06-05,500000.0,0.0
2000-06-06,500000.0,0.0
2000-06-07,500000.0,0.0
2000-06-08,500000.0,0.0
2000-06-09,500000.0,0.0
2000-06-12,500000.0,0.0
2000-06-13,500000.0,0.0
2000-06-14,500000.0,0.0
2000-06-15,500000.0,0.0
2000-06-16,500000.0,0.0
2000-06-19,500000.0,0.0
2000-06-20,500000.0,0.0
2000-06-21,500000.0,0.0
2000-06-22,500000.0,0.0
2000-06-23,500000.0,0.0
2000-06-26,500000.0,0.0
2000-06-27,500000.0,0.0
2000-06-28,500000.0,0.0
2000-06-29,500000.0,0.0
2000-06-30,500000.0,0.0
2000-07-03,500000.0,0.0
2000-07-05,500000.0,0.0
2000-07-06,500000.0,0.0
2000-07-07,500000.0,0.0
2000-07-10,500000.0,0.0
2000-07-11,500000.0,0.0
2000-07-12,500000.0,0.0
2000-07-13,500000.0,0.0
2000-07-14,500000.0,0.0
2000-07-17,500000.0,0.0
2000-07-18,500000.0,0.0
