date,close,rules_regime,threshold_regime,hybrid_regime
2016-08-18,109.70601654052734,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-08-19,109.67797088623047,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-08-22,109.76216125488281,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-08-23,109.95858001708984,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-08-24,109.24773406982422,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-08-25,109.06999206542969,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-08-26,109.22899627685547,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-08-29,109.378662109375,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-08-30,109.02323150634766,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-08-31,108.91096496582031,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-09-01,109.19158935546875,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-09-02,109.5470199584961,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-09-06,110.22982025146484,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-09-07,110.29527282714844,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-09-08,109.64989471435547,BULL_LOW_VOL,BULL_LOW_VOL,BULL_LOW_VOL
2016-09-09,106.8906478881836,BULL_NORMAL_VOL,BULL_LOW_VOL,BULL_NORMAL_VOL
2016-09-12,108.80809020996094,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-13,107.83538055419922,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-14,108.34977722167969,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-15,110.03337860107422,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-16,109.98088073730469,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-19,109.50269317626953,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-20,109.7089614868164,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-21,110.78730773925781,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-22,111.6687240600586,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-23,110.9560775756836,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-26,110.02776336669922,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-27,111.115478515625,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-28,111.30300903320312,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-29,110.49662780761719,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-09-30,111.32178497314453,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-10-03,111.16236114501953,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-10-04,110.99356842041016,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-10-05,111.38742065429688,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-10-06,111.33114624023438,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
2016-10-07,111.08734893798828,BULL_NORMAL_VOL,BULL_NORMAL_VOL,BULL_NORMAL_VOL
